"","season","episode","episode_name","imdb_rating","total_votes","air_date","halloween","valentine","christmas","michael","lines_jim","lines_pam","lines_michael","lines_dwight"
"1",1,1,"Pilot",7.6,3706,2005-03-24,"0","0","0","1",0.157205240174672,0.179039301310044,0.353711790393013,0.126637554585153
"2",1,2,"Diversity Day",8.3,3566,2005-03-29,"0","0","0","1",0.123152709359606,0.0591133004926108,0.369458128078818,0.083743842364532
"3",1,3,"Health Care",7.9,2983,2005-04-05,"0","0","0","1",0.172131147540984,0.131147540983607,0.229508196721311,0.254098360655738
"4",1,4,"The Alliance",8.1,2886,2005-04-12,"0","0","0","1",0.201646090534979,0.0905349794238683,0.279835390946502,0.193415637860082
"5",1,5,"Basketball",8.4,3179,2005-04-19,"0","0","0","1",0.091304347826087,0.0608695652173913,0.452173913043478,0.108695652173913
"6",1,6,"Hot Girl",7.8,2852,2005-04-26,"0","0","0","1",0.158959537572254,0.130057803468208,0.30635838150289,0.0809248554913295
"7",2,1,"The Dundies",8.7,3213,2005-09-20,"0","0","0","1",0.125,0.16015625,0.375,0.125
"8",2,2,"Sexual Harassment",8.2,2736,2005-09-27,"0","0","0","1",0.0565371024734982,0.0954063604240283,0.353356890459364,0.03886925795053
"9",2,3,"Office Olympics",8.4,2742,2005-10-04,"0","0","0","1",0.195729537366548,0.117437722419929,0.295373665480427,0.195729537366548
"10",2,4,"The Fire",8.4,2713,2005-10-11,"0","0","0","1",0.15987460815047,0.0689655172413793,0.216300940438871,0.203761755485893
"11",2,5,"Halloween",8.2,2561,2005-10-18,"1","0","0","1",0.111524163568773,0.100371747211896,0.401486988847584,0.122676579925651
"12",2,6,"The Fight",8.2,2550,2005-11-01,"0","0","0","1",0.182835820895522,0.0932835820895522,0.317164179104478,0.238805970149254
"13",2,7,"The Client",8.6,2631,2005-11-08,"0","0","0","1",0.15748031496063,0.125984251968504,0.28740157480315,0.0866141732283465
"14",2,8,"Performance Review",8.2,2416,2005-11-15,"0","0","0","1",0.0952380952380952,0.10989010989011,0.377289377289377,0.153846153846154
"15",2,9,"E-Mail Surveilance",8.4,2527,2005-11-22,"0","0","0","1",0.192727272727273,0.138181818181818,0.290909090909091,0.123636363636364
"16",2,10,"Christmas Party",8.8,2755,2005-12-06,"0","0","1","1",0.0954063604240283,0.0600706713780919,0.307420494699647,0.148409893992933
"17",2,11,"Booze Cruise",8.6,2679,2006-01-05,"0","0","0","1",0.130044843049327,0.0762331838565022,0.336322869955157,0.0986547085201794
"18",2,12,"The Injury",9,3282,2006-01-12,"0","0","0","1",0.152354570637119,0.157894736842105,0.343490304709141,0.166204986149584
"19",2,13,"The Secret",8.3,2363,2006-01-19,"0","0","0","1",0.190839694656489,0.103053435114504,0.351145038167939,0.145038167938931
